	IBM	IBM	IBM	IBM	IBM	INTC	INTC	INTC	INTC	INTC	MSFT	MSFT	MSFT	MSFT	MSFT	ORCL	ORCL	ORCL	ORCL	ORCL
	open	high	low	close	volume	open	high	low	close	volume	open	high	low	close	volume	open	high	low	close	volume
time																				
2019-01-02 00:00:00-05:00	112.01	115.98	111.69	114.84	3157499	45.96	47.47	45.77	47.0194	14228698	99.55	101.75	98.94	101.01	26692255	44.48	45.34	44.45	45.115	10408118
2019-01-03 00:00:00-05:00	114.53	114.88	112.9	113.14	3235834	46.15	46.28	44.535	44.61	25762964	100.0	100.185	97.4	97.5	34611003	44.75	45.5	44.41	44.855	17520887
2019-01-04 00:00:00-05:00	114.91	117.49	114.44	117.28	3720470	45.835	47.57	45.54	47.18	28447250	99.72	102.51	98.93	101.775	35976325	45.37	46.95	45.25	46.715	16619435
2019-01-07 00:00:00-05:00	117.5	118.83	116.67	118.23	3186444	47.1	47.995	46.75	47.525	16202761	101.64	103.2681	100.98	102.15	28570376	46.93	48.105	46.47	47.4601	15855305
2019-01-08 00:00:00-05:00	119.66	120.57	118.98	119.87	3828313	47.8	48.03	46.78	47.725	18805775	103.04	103.97	101.7134	102.73	25193769	47.93	48.36	47.2	47.85	14091247
2019-01-09 00:00:00-05:00	120.91	121.4	119.87	120.62	3001925	47.96	48.57	47.78	47.97	17386573	103.86	104.88	103.2445	104.25	27578681	46.64	48.23	46.61	47.79	15529862
2019-01-10 00:00:00-05:00	120.08	121.86	119.95	121.68	3090987	47.75	48.65	47.41	48.51	18339139	103.22	103.66	102.38	103.57	23141246	47.38	47.98	46.88	47.74	14073500
2019-01-11 00:00:00-05:00	121.58	121.615	120.2	121.31	2802725	48.1	49.291	48.05	48.86	16742369	102.95	103.44	101.64	102.81	23708629	47.67	48.6197	47.37	48.255	13670547
2019-01-14 00:00:00-05:00	120.51	120.6548	119.7607	120.47	4164039	48.55	48.83	48.3	48.4201	10953974	101.9	102.8716	101.26	102.12	19299980	47.85	48.34	47.62	48.065	11708003
2019-01-15 00:00:00-05:00	120.96	121.93	120.82	121.66	3032787	48.71	49.13	48.44	48.54	19174034	102.51	105.05	101.88	104.78	26725036	47.47	48.525	47.41	48.3399	11046783
2019-01-16 00:00:00-05:00	121.58	122.0	120.83	121.6	3157451	48.6	48.89	48.12	48.13	13183521	105.26	106.255	104.96	105.39	24069834	48.58	48.785	48.05	48.075	11512117
2019-01-17 00:00:00-05:00	120.56	122.4085	120.55	122.09	3878633	48.0	48.84	47.905	48.46	13819492	105.0	106.625	104.76	106.1	22660985	48.01	48.91	47.81	48.5799	11078071
2019-01-18 00:00:00-05:00	123.27	124.7175	122.71	123.76	4971438	49.11	49.38	48.69	49.06	24295092	107.46	107.9	105.92	107.6	34864877	48.94	49.54	48.87	49.245	13863678
2019-01-22 00:00:00-05:00	123.3	123.8	121.54	121.86	6648352	48.96	48.98	47.87	48.16	17347373	106.75	107.1	104.86	105.315	23461439	48.84	49.17	48.66	48.815	10712763
2019-01-23 00:00:00-05:00	131.37	135.0	130.31	132.86	20479153	48.41	48.8	47.52	47.885	14951647	106.2	107.04	105.34	106.54	21504900	49.19	49.48	48.83	49.305	11173785
2019-01-24 00:00:00-05:00	132.63	133.2054	131.43	132.55	5478346	48.7	50.035	48.6	49.8449	37960590	106.86	107.0	105.34	106.23	20135205	49.26	49.43	48.87	49.2	9791312
2019-01-25 00:00:00-05:00	132.87	134.44	132.43	133.985	5039821	46.85	47.43	45.75	47.02	75004898	107.24	107.88	106.59	106.95	24504900	49.6	49.9	49.45	49.79	13101865
2019-01-28 00:00:00-05:00	133.1	134.805	132.58	134.3025	4193014	46.13	46.73	46.05	46.69	26940507	106.26	106.48	104.66	105.015	25364435	49.45	49.73	49.21	49.505	9815761
2019-01-29 00:00:00-05:00	134.29	135.4149	133.6	134.37	4074414	46.78	46.97	46.33	46.52	15953335	104.88	104.97	102.17	102.89	27146195	49.39	49.92	49.19	49.595	9687176
2019-01-30 00:00:00-05:00	134.0	135.03	133.25	134.42	3877857	46.68	47.68	46.45	47.47	18590824	104.62	106.36	104.33	106.28	33864443	49.86	50.5	49.6	50.35	11923316
2019-01-31 00:00:00-05:00	134.45	134.716	133.74	134.48	3256353	46.7	47.18	46.1	47.09	33649329	103.8	105.22	103.18	104.4575	44935530	50.24	50.5	50.07	50.235	13143092
2019-02-01 00:00:00-05:00	134.97	135.2	133.35	134.02	3166906	47.05	49.05	47.01	48.72	30437403	103.775	104.0999	102.35	102.625	26737879	50.52	51.095	50.29	50.74	12352093
2019-02-04 00:00:00-05:00	134.02	135.15	132.99	135.11	3235624	48.62	49.22	48.24	49.175	16735013	102.87	105.77	102.77	105.62	23658120	50.38	51.25	50.38	50.99	10631804
2019-02-05 00:00:00-05:00	135.28	135.82	134.92	135.33	3025630	49.18	50.7159	49.18	50.005	26444761	106.06	107.27	105.96	107.11	20654191	51.17	51.37	50.885	51.235	9314345
2019-02-06 00:00:00-05:00	135.22	136.65	135.17	136.305	4262705	49.95	50.64	49.82	50.01	17590695	107.0	107.0	105.53	106.06	16159849	51.19	51.49	50.97	51.255	7877893
2019-02-07 00:00:00-05:00	133.55	134.47	132.12	133.0	3858795	49.5	49.85	48.68	49.255	22602745	105.185	105.59	104.29	105.19	21525386	50.79	50.985	50.17	50.2	12798847
2019-02-08 00:00:00-05:00	132.34	133.65	132.19	133.515	2336759	48.77	49.02	48.01	48.775	15512722	104.39	105.43	104.2603	105.42	16338977	50.09	50.98	49.82	50.94	8988520
2019-02-11 00:00:00-05:00	134.29	135.15	133.91	134.05	2373146	49.02	49.32	48.58	48.79	14307322	106.2	106.58	104.965	105.255	14633052	50.96	51.475	50.95	51.19	7588525
2019-02-12 00:00:00-05:00	135.15	136.2	134.86	135.97	2787754	49.36	50.14	49.27	50.005	13770858	106.14	107.14	105.48	106.835	20510887	51.46	51.55	51.19	51.2	11525149
2019-02-13 00:00:00-05:00	136.92	137.92	136.41	137.55	3548753	50.13	50.81	50.0	50.42	14587710	107.5	107.78	106.75	106.785	14473482	51.25	51.55	50.95	51.35	9022243
2019-02-14 00:00:00-05:00	137.17	137.6019	136.21	136.61	2317230	50.41	51.04	50.35	50.8699	14968810	106.31	107.29	105.66	106.96	17159054	51.24	51.75	51.09	51.5	9605602
2019-02-15 00:00:00-05:00	137.58	138.185	137.385	138.115	2987098	51.25	51.67	51.09	51.615	19038425	107.91	108.3	107.3624	108.13	25025029	51.13	51.7	51.07	51.655	11097657
2019-02-19 00:00:00-05:00	137.81	138.66	137.36	138.6	2643269	51.35	51.71	51.35	51.375	12630835	107.79	108.66	107.78	108.13	15253556	51.48	52.18	51.24	52.03	10282839
2019-02-20 00:00:00-05:00	138.76	139.24	137.2203	138.03	2987925	51.63	51.73	51.06	51.41	16811274	107.86	107.94	106.29	107.2	17187539	52.0	52.205	51.5	51.7801	10588306
2019-02-21 00:00:00-05:00	137.82	138.35	137.35	137.84	2378224	51.32	51.84	51.21	51.41	13927120	106.9	109.48	106.87	109.44	25915604	51.63	52.35	51.51	52.13	12015960
2019-02-22 00:00:00-05:00	138.73	139.38	135.8867	139.26	2550453	52.7	52.975	52.055	52.5	27841915	110.05	111.2	109.82	110.965	23375592	52.39	52.6	52.2	52.49	9543591
2019-02-25 00:00:00-05:00	140.0	140.47	139.32	139.43	2568886	53.06	53.61	52.86	53.1	18099838	111.76	112.18	111.26	111.59	20242749	52.75	53.03	52.46	52.56	11292227
